case,selected_candidate,E_wait,E_memory_new,E_finish,runtime_sec
case001.in,repair_combo,0.0,109543.0,2556.0,0.019285
case002.in,repair_combo,158089.0,456262.0,3841.0,0.016682
case003.in,repair_combo,1999.0,102820.0,2704.0,0.015127
case004.in,v2.2_baseline,90849.0,393794.0,4011.0,0.016944
case005.in,repair_combo,0.0,157841.0,2622.0,0.016325
case006.in,v2.2_baseline,124575.0,423655.0,4628.0,0.017418
case007.in,repair_memory_top,0.0,73633.0,2669.0,0.014581
case008.in,repair_finish_tail,2071.0,322638.0,2837.0,0.015458
case009.in,repair_memory_top,0.0,230558.0,2618.0,0.01599
case010.in,repair_combo,191102.0,613296.0,3790.0,0.015789
case011.in,repair_combo,0.0,275147.0,2746.0,0.017213
case012.in,repair_memory_top,42192.0,559322.0,3115.0,0.017416
case013.in,repair_memory_top,0.0,422888.0,2708.0,0.018008
case014.in,repair_wait_top,51914.0,645276.0,3017.0,0.019028
case015.in,repair_memory_top,0.0,360252.0,2677.0,0.01735
case016.in,v2.2_baseline,47998.0,1085770.0,3247.0,0.020759
case017.in,repair_memory_top,0.0,198354.0,2579.0,0.019892
case018.in,repair_finish_tail,68071.0,1191320.0,3184.0,0.018957
case019.in,repair_memory_top,0.0,361345.0,2677.0,0.018646
case020.in,v2.2_baseline,80592.0,789999.0,3070.0,0.018632
case021.in,repair_memory_top,4264.0,1307720.0,12438.0,0.02043
case022.in,v2.2_baseline,23787.0,811782.0,10569.0,0.01889
case023.in,repair_memory_top,0.0,502048.0,12258.0,0.01814
case024.in,v2.2_baseline,492.0,1510280.0,12459.0,0.023322
case025.in,repair_memory_top,55406.0,1245910.0,10775.0,0.019231
case026.in,repair_memory_top,0.0,980167.0,12346.0,0.019875
case027.in,repair_memory_top,0.0,1267250.0,12377.0,0.023285
case028.in,v2.2_baseline,114829.0,1931130.0,10790.0,0.02659
case029.in,v2.2_baseline,0.0,1209970.0,12438.0,0.029371
case030.in,repair_wait_top,0.0,2633410.0,12400.0,0.030539
case031.in,v2.2_baseline,113479.0,4089170.0,10941.0,0.029594
case032.in,repair_memory_top,0.0,1874970.0,12088.0,0.02855
case033.in,repair_memory_top,0.0,1989360.0,12464.0,0.030072
case034.in,v2.2_baseline,407390.0,5427380.0,11582.0,0.048046
case035.in,v2.2_baseline,0.0,1979550.0,12518.0,0.03809
case036.in,v2.2_baseline,2812.0,4402740.0,12392.0,0.035424
case037.in,v2.2_baseline,212118.0,4771640.0,10934.0,0.03561
case038.in,v2.2_baseline,0.0,2736960.0,12491.0,0.040697
case039.in,v2.2_baseline,360.0,3475160.0,12472.0,0.039111
case040.in,v2.2_baseline,641388.0,6337720.0,10955.0,0.054861
case041.in,v2.2_baseline,0.0,2219970.0,12483.0,0.043304
case042.in,v2.2_baseline,0.0,2770100.0,12512.0,0.042164
case043.in,repair_combo,486051.0,7026590.0,11037.0,0.054907
case044.in,v2.2_baseline,0.0,3021970.0,12494.0,0.046584
case045.in,v2.2_baseline,0.0,4608780.0,12517.0,0.04946
case046.in,v2.2_baseline,933416.0,8803470.0,11416.0,0.074753
case047.in,repair_memory_top,0.0,2222030.0,12477.0,0.042468
case048.in,repair_memory_top,0.0,4208890.0,12389.0,0.044911
case049.in,v2.2_baseline,1016920.0,10770400.0,11554.0,0.079748
case050.in,v2.2_baseline,0.0,2476160.0,12414.0,0.047366
case051.in,repair_memory_top,0.0,3653330.0,12582.0,0.050176
case052.in,v2.2_baseline,884571.0,7996180.0,11407.0,0.075936
case053.in,v2.2_baseline,0.0,3340850.0,12472.0,0.055035
case054.in,repair_memory_top,0.0,3220530.0,12635.0,0.051018
case055.in,repair_memory_top,1543530.0,9897360.0,11713.0,0.108845
case056.in,repair_memory_top,0.0,3279280.0,12452.0,0.066001
case057.in,v2.2_baseline,0.0,5499810.0,12561.0,0.064304
case058.in,v2.2_baseline,731804.0,11136900.0,11226.0,0.0969
case059.in,repair_memory_top,0.0,3568940.0,12512.0,0.065645
case060.in,repair_memory_top,0.0,4728940.0,12459.0,0.06519
case061.in,repair_combo,10174800.0,8560120.0,9833.0,0.553914
case062.in,v2.2_baseline,1372940.0,22451600.0,17913.0,0.185114
case063.in,v2.2_baseline,42186.0,7251430.0,15640.0,0.076464
case064.in,repair_memory_top,0.0,6759890.0,20472.0,0.100798
case065.in,v2.2_baseline,14950100.0,9946560.0,10498.0,1.103921
case066.in,v2.2_baseline,1461860.0,14948600.0,17877.0,0.171535
case067.in,v2.2_baseline,337198.0,20439000.0,15807.0,0.123346
case068.in,repair_memory_top,0.0,6462130.0,20443.0,0.113862
case069.in,v2.2_baseline,34368800.0,14903800.0,13671.0,2.577705
case070.in,v2.2_baseline,6147630.0,29093500.0,19056.0,0.584611
case071.in,v2.2_baseline,729827.0,21972000.0,15904.0,0.155919
case072.in,repair_memory_top,0.0,8171500.0,20501.0,0.154711
case073.in,v2.2_baseline,73647700.0,20046100.0,15435.0,8.454146
case074.in,v2.2_baseline,6973600.0,27940100.0,18832.0,0.627916
case075.in,v2.2_baseline,1231850.0,28748000.0,15927.0,0.191639
case076.in,repair_memory_top,0.0,12054700.0,20525.0,0.25039
case077.in,v2.2_baseline,119825000.0,23792300.0,19416.0,17.124752
case078.in,repair_combo,12122200.0,41332400.0,18891.0,1.750569
case079.in,repair_wait_top,1041880.0,32407300.0,16129.0,0.261345
case080.in,v2.2_baseline,0.0,17449200.0,20534.0,0.243599
case081.in,v2.2_baseline,156336000.0,35551200.0,21958.0,24.242043
case082.in,v2.2_baseline,11339700.0,38533600.0,19229.0,1.33628
case083.in,v2.2_baseline,3118780.0,44121300.0,16214.0,0.499975
case084.in,v2.2_baseline,0.0,20137000.0,20430.0,0.297533
case085.in,v2.2_baseline,173048000.0,31906200.0,21029.0,29.073546
case086.in,repair_wait_top,16539900.0,54517700.0,18984.0,2.367518
case087.in,v2.2_baseline,2803130.0,39740200.0,16044.0,0.402516
case088.in,v2.2_baseline,0.0,20214200.0,20489.0,0.308648
case089.in,repair_memory_top,238029000.0,36415200.0,22245.0,45.593385
case090.in,v2.2_baseline,21216300.0,53846900.0,19370.0,3.399022
case091.in,v2.2_baseline,284814000.0,52770100.0,73774.0,1.618721
case092.in,v2.2_baseline,239284000.0,44037500.0,70578.0,1.188293
case093.in,repair_memory_top,253508000.0,56385500.0,63528.0,2.35036
case094.in,v2.2_baseline,588586000.0,82295300.0,89226.0,6.811336
case095.in,v2.2_baseline,1187620000.0,115186000.0,121771.0,13.486145
case096.in,repair_wait_top,1413830000.0,112529000.0,148095.0,10.99116
case097.in,v2.2_baseline,950917000.0,122229000.0,94884.0,15.976922
case098.in,v2.2_baseline,1744610000.0,139104000.0,146400.0,21.315131
case099.in,v2.2_baseline,2203550000.0,177584000.0,150783.0,36.115488
case100.in,repair_wait_top,3039430000.0,192664000.0,191427.0,42.073506
